city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Vitry-sur-Seine,48.7875,2.3928,France,FR,Île-de-France,,93557,93557
Épinal,48.1744,6.4512,France,FR,Grand Est,minor,93184,32223
Créteil,48.7911,2.4628,France,FR,Île-de-France,minor,90605,90605
Poitiers,46.5800,0.3400,France,FR,Nouvelle-Aquitaine,minor,88291,88291
Dunkerque,51.0383,2.3775,France,FR,Hauts-de-France,minor,87353,86865
Aubervilliers,48.9131,2.3831,France,FR,Île-de-France,,86375,86375
Versailles,48.8053,2.1350,France,FR,Île-de-France,minor,85862,85205
Aulnay-sous-Bois,48.9386,2.4906,France,FR,Île-de-France,,85740,85740
Carrières-sur-Seine,48.9108,2.2889,France,FR,Île-de-France,,85191,15003
Colombes,48.9236,2.2522,France,FR,Île-de-France,,85177,85177
Courbevoic,48.8978,2.2531,France,FR,Île-de-France,,81719,81719
Rueil-Malmaison,48.8760,2.1810,France,FR,Île-de-France,,78152,77986
Champigny-sur-Marne,48.8172,2.5156,France,FR,Île-de-France,,77630,77039
Béziers,43.3476,3.2190,France,FR,Occitanie,minor,77177,77177
Pau,43.3000,-0.3700,France,FR,Nouvelle-Aquitaine,minor,77130,76275
La Rochelle,46.1591,-1.1517,France,FR,Nouvelle-Aquitaine,minor,75735,75735
Saint-Maur-des-Fossés,48.7994,2.4997,France,FR,Île-de-France,,74859,74859
Calais,50.9481,1.8564,France,FR,Hauts-de-France,minor,73911,72929
Cannes,43.5513,7.0128,France,FR,Provence-Alpes-Côte d’Azur,,73868,73868
Antibes,43.5808,7.1239,France,FR,Provence-Alpes-Côte d’Azur,,72999,72915
Drancy,48.9300,2.4500,France,FR,Île-de-France,,71318,71318
Ajaccio,41.9267,8.7369,France,FR,Corsica,admin,70659,70659
Mérignac,44.8386,-0.6436,France,FR,Nouvelle-Aquitaine,,70105,70105
Saint-Nazaire,47.2806,-2.2086,France,FR,Pays de la Loire,minor,69993,69993
Colmar,48.0817,7.3556,France,FR,Grand Est,minor,69105,68703
Issy-les-Moulineaux,48.8239,2.2700,France,FR,Île-de-France,,68451,68260
Noisy-le-Grand,48.8478,2.5528,France,FR,Île-de-France,,68183,68126
Courcouronnes,48.6239,2.4294,France,FR,Île-de-France,,67967,13490
Vénissieux,45.6978,4.8867,France,FR,Auvergne-Rhône-Alpes,,65894,65894
Cergy,49.0361,2.0631,France,FR,Île-de-France,minor,65177,65177
Bourges,47.0844,2.3964,France,FR,Centre-Val de Loire,minor,64551,64551
Levallois-Perret,48.8950,2.2872,France,FR,Île-de-France,,64379,64379
La Seyne-sur-Mer,43.1000,5.8830,France,FR,Provence-Alpes-Côte d’Azur,,63936,62888
Pessac,44.8067,-0.6311,France,FR,Nouvelle-Aquitaine,,63808,63808
Valence,44.9333,4.8917,France,FR,Auvergne-Rhône-Alpes,minor,63714,63714
Quimper,47.9967,-4.0964,France,FR,Bretagne,minor,62985,62985
Antony,48.7539,2.2975,France,FR,Île-de-France,minor,62570,62570
Ivry-sur-Seine,48.8078,2.3747,France,FR,Île-de-France,,62052,62052
Montélimar,44.5581,4.7508,France,FR,Auvergne-Rhône-Alpes,,61861,39415
Troyes,48.2997,4.0792,France,FR,Grand Est,minor,61652,61652
Clichy,48.9044,2.3064,France,FR,Île-de-France,,61070,61070
